team_abbr,league,full_name,espn_id,logo_url,primary_color,secondary_color,competition
KCI,USA (MLS),Sporting Kansas City,186,https://a.espncdn.com/i/teamlogos/soccer/500/186.png,#a7c6ed,#0a2240,usa.1
LAF,USA (MLS),LAFC,18966,https://a.espncdn.com/i/teamlogos/soccer/500/18966.png,#000000,#c7a36f,usa.1
MAL,USA (MLS),MLS All-Stars,9817,https://a.espncdn.com/i/teamlogos/soccer/500/9817.png,#000000,#C60000,usa.1
MNU,USA (MLS),Minnesota United FC,17362,https://a.espncdn.com/i/teamlogos/soccer/500/17362.png,#000000,#9bcde4,usa.1
MTL,USA (MLS),CF Montréal,9720,https://a.espncdn.com/i/teamlogos/soccer/500/9720.png,#003da6,#c1c5c8,usa.1
NEN,USA (MLS),New England Revolution,189,https://a.espncdn.com/i/teamlogos/soccer/500/189.png,#022166,#ce0e2d,usa.1
NSC,USA (MLS),Nashville SC,18986,https://a.espncdn.com/i/teamlogos/soccer/500/18986.png,#ece83a,#1f1646,usa.1
NYO,USA (MLS),New York City FC,17606,https://a.espncdn.com/i/teamlogos/soccer/500/17606.png,#9fd2ff,#000229,usa.1
OCI,USA (MLS),Orlando City SC,12011,https://a.espncdn.com/i/teamlogos/soccer/500/12011.png,#60269e,#f0d283,usa.1
PHU,USA (MLS),Philadelphia Union,10739,https://a.espncdn.com/i/teamlogos/soccer/500/10739.png,#051f31,#e0d0a6,usa.1
PTI,USA (MLS),Portland Timbers,9723,https://a.espncdn.com/i/teamlogos/soccer/500/9723.png,#2c5234,#c99700,usa.1
